Date,target_rv_10
2018-12-26 05:00:00,0.03201758342479412
2018-12-27 05:00:00,0.03178875608349323
2018-12-28 05:00:00,0.031243472510375285
2018-12-31 05:00:00,0.029918368682041403
2019-01-02 05:00:00,0.031545101875064804
2019-01-03 05:00:00,0.03560892804357735
2019-01-04 05:00:00,0.034941990117975844
2019-01-07 05:00:00,0.03292748157625915
2019-01-08 05:00:00,0.028483838833531738
2019-01-09 05:00:00,0.020910469070148294
2019-01-10 05:00:00,0.02113714414812289
2019-01-11 05:00:00,0.021112204383229312
2019-01-14 05:00:00,0.022628629771697967
2019-01-15 05:00:00,0.022464319885270898
2019-01-16 05:00:00,0.017065144509490714
2019-01-17 05:00:00,0.011578377452736571
2019-01-18 05:00:00,0.013942937312575359
2019-01-22 05:00:00,0.014038292148858413
2019-01-23 05:00:00,0.013746671713135832
2019-01-24 05:00:00,0.013583949137054633
2019-01-25 05:00:00,0.01511124217900322
2019-01-28 05:00:00,0.016551160403935745
2019-01-29 05:00:00,0.01738189608689982
2019-01-30 05:00:00,0.018432077211994524
2019-01-31 05:00:00,0.018762513343709243
2019-02-01 05:00:00,0.02060596084352898
2019-02-04 05:00:00,0.020181882679181088
2019-02-05 05:00:00,0.020311766395433743
2019-02-06 05:00:00,0.020380431866980887
2019-02-07 05:00:00,0.020160029541370826
2019-02-08 05:00:00,0.019164328308064645
2019-02-11 05:00:00,0.018195306343385866
2019-02-12 05:00:00,0.015054748954414204
2019-02-13 05:00:00,0.013520475046671636
2019-02-14 05:00:00,0.01216021637290116
2019-02-15 05:00:00,0.009063282101145435
2019-02-19 05:00:00,0.008323922844665805
2019-02-20 05:00:00,0.009480778305893842
2019-02-21 05:00:00,0.009188569192704365
2019-02-22 05:00:00,0.009164746637221206
2019-02-25 05:00:00,0.00848476591213468
2019-02-26 05:00:00,0.008307874685641568
2019-02-27 05:00:00,0.008349386753143617
2019-02-28 05:00:00,0.008217137355157023
2019-03-01 05:00:00,0.008195266251220598
2019-03-04 05:00:00,0.008591564136144014
2019-03-05 05:00:00,0.008117059864507156
2019-03-06 05:00:00,0.007272248744604931
2019-03-07 05:00:00,0.005606938537569204
2019-03-08 05:00:00,0.008647875631932924
2019-03-11 04:00:00,0.008655405672659449
2019-03-12 04:00:00,0.008825926572117258
2019-03-13 04:00:00,0.008764518004232075
2019-03-14 04:00:00,0.009226610954109685
2019-03-15 04:00:00,0.009641294547709593
2019-03-18 04:00:00,0.009167006297021397
2019-03-19 04:00:00,0.009268872317623944
2019-03-20 04:00:00,0.008596087405280214
2019-03-21 04:00:00,0.014043708923776717
2019-03-22 04:00:00,0.013018188193508577
2019-03-25 04:00:00,0.012993261707390244
2019-03-26 04:00:00,0.013552842886245753
2019-03-27 04:00:00,0.013548463406019463
2019-03-28 04:00:00,0.01335644507551491
2019-03-29 04:00:00,0.01291664603712467
2019-04-01 04:00:00,0.012915300196325363
2019-04-02 04:00:00,0.012982514894466585
2019-04-03 04:00:00,0.01087478407040101
2019-04-04 04:00:00,0.005940278936252351
2019-04-05 04:00:00,0.005884368591051616
2019-04-08 04:00:00,0.006323081029642455
2019-04-09 04:00:00,0.00530418874223238
2019-04-10 04:00:00,0.005311115144365237
2019-04-11 04:00:00,0.00499951924794171
2019-04-12 04:00:00,0.004440434192799497
2019-04-15 04:00:00,0.004619305680944164
2019-04-16 04:00:00,0.004860882004884815
2019-04-17 04:00:00,0.005477856499709959
2019-04-18 04:00:00,0.005463552588283866
2019-04-22 04:00:00,0.006231617610814772
2019-04-23 04:00:00,0.005900855672138792
2019-04-24 04:00:00,0.010647417060596262
2019-04-25 04:00:00,0.010456818745495873
2019-04-26 04:00:00,0.010788781255428292
2019-04-29 04:00:00,0.010574347642591672
2019-04-30 04:00:00,0.01371683470552401
2019-05-01 04:00:00,0.014896434554167129
2019-05-02 04:00:00,0.015661295886071458
2019-05-03 04:00:00,0.01599424582510586
2019-05-06 04:00:00,0.017230475523720538
2019-05-07 04:00:00,0.017187415743388328
2019-05-08 04:00:00,0.012981035290578653
2019-05-09 04:00:00,0.013689033907293936
2019-05-10 04:00:00,0.016280344281324386
2019-05-13 04:00:00,0.016714985283385067
2019-05-14 04:00:00,0.016554845009792346
2019-05-15 04:00:00,0.01752572160142451
2019-05-16 04:00:00,0.016418825515568475
2019-05-17 04:00:00,0.016968788014949786
2019-05-20 04:00:00,0.015571023321804869
2019-05-21 04:00:00,0.015624090552672278
2019-05-22 04:00:00,0.016226266303515067
2019-05-23 04:00:00,0.015671973166172953
2019-05-24 04:00:00,0.011700725667412792
2019-05-28 04:00:00,0.01187278207734501
2019-05-29 04:00:00,0.011131575346016389
2019-05-30 04:00:00,0.008768621344266824
2019-05-31 04:00:00,0.012354257265057475
2019-06-03 04:00:00,0.015949923886230667
2019-06-04 04:00:00,0.017555584146475702
2019-06-05 04:00:00,0.01822830610729044
2019-06-06 04:00:00,0.019583096406708425
2019-06-07 04:00:00,0.01959769658034844
2019-06-10 04:00:00,0.019721449684708056
2019-06-11 04:00:00,0.019373518733959493
2019-06-12 04:00:00,0.019373445205168927
2019-06-13 04:00:00,0.017951612258321654
2019-06-14 04:00:00,0.012118808920190119
2019-06-17 04:00:00,0.010903469016204873
2019-06-18 04:00:00,0.010113736521334876
2019-06-19 04:00:00,0.00973505282187485
2019-06-20 04:00:00,0.006612880322136881
2019-06-21 04:00:00,0.0064221587033067105
2019-06-24 04:00:00,0.013008388829236538
2019-06-25 04:00:00,0.012874449266682303
2019-06-26 04:00:00,0.012779336503051141
2019-06-27 04:00:00,0.012809992527821489
2019-06-28 04:00:00,0.013328967702550808
2019-07-01 04:00:00,0.012378316851072206
2019-07-02 04:00:00,0.012468012438622373
2019-07-03 04:00:00,0.012196778988418215
2019-07-05 04:00:00,0.012199399963363559
2019-07-08 04:00:00,0.012058971395851532
2019-07-09 04:00:00,0.005630394009129586
2019-07-10 04:00:00,0.005633206638586827
2019-07-11 04:00:00,0.005603778006043482
2019-07-12 04:00:00,0.005482776693785462
2019-07-15 04:00:00,0.006686188123861221
2019-07-16 04:00:00,0.006698121921086285
2019-07-17 04:00:00,0.006311330221185412
2019-07-18 04:00:00,0.006297118085766011
2019-07-19 04:00:00,0.007595394265741514
2019-07-22 04:00:00,0.007553205778697697
2019-07-23 04:00:00,0.007562706620043705
2019-07-24 04:00:00,0.0077393793609307465
2019-07-25 04:00:00,0.008020887052643796
2019-07-26 04:00:00,0.008103481416488511
2019-07-29 04:00:00,0.006732857266899466
2019-07-30 04:00:00,0.01201268852808236
2019-07-31 04:00:00,0.012708489218462925
2019-08-01 04:00:00,0.013065886524662737
2019-08-02 04:00:00,0.016218822131804703
2019-08-05 04:00:00,0.01755324416895604
2019-08-06 04:00:00,0.01714369845259519
2019-08-07 04:00:00,0.019639086513681445
2019-08-08 04:00:00,0.019488688841684764
2019-08-09 04:00:00,0.019818437308605153
