rv_10,log_close,log_return_lag_1,log_return_lag_2,log_return_lag_3,log_return_lag_4,log_return_lag_5,rv_10_lag_1,log_volume,volume_change
0.032475731452230996,3.6300145050505606,-0.02621444101006043,-0.03967224384919499,-0.0255585102083411,-0.03168846809217207,0.012908530699062393,0.019179684088595415,19.27224093625459,0.5761033328669973
0.032295932019713335,3.6235039942992113,0.06805231783161325,-0.02621444101006043,-0.03967224384919499,-0.0255585102083411,-0.03168846809217207,0.032475731452230996,19.174303829388577,-0.09329407246191268
0.03178599733863238,3.6240161732163716,-0.00651051075134923,0.06805231783161325,-0.02621444101006043,-0.03967224384919499,-0.0255585102083411,0.032295932019713335,18.94638867477351,-0.20380818982964055
0.03110795492939289,3.633634668593164,0.0005121789171602664,-0.00651051075134923,0.06805231783161325,-0.02621444101006043,-0.03967224384919499,0.03178599733863238,18.757252975573913,-0.17232581565046323
0.031113996639653044,3.6347751978052516,0.009618495376792602,0.0005121789171602664,-0.00651051075134923,0.06805231783161325,-0.02621444101006043,0.03110795492939289,18.813795229477293,0.0581713257245704
0.04382427859540738,3.5298507090712508,0.0011405292120874044,0.009618495376792602,0.0005121789171602664,-0.00651051075134923,0.06805231783161325,0.031113996639653044,19.71608932316874,1.4652521483705323
0.0468688676409204,3.571654102793186,-0.10492448873400084,0.0011405292120874044,0.009618495376792602,0.0005121789171602664,-0.00651051075134923,0.04382427859540738,19.27266076873736,-0.3581679118452956
0.046486532796884084,3.5694258792531763,0.04180339372193531,-0.10492448873400084,0.0011405292120874044,0.009618495376792602,0.0005121789171602664,0.0468688676409204,19.205089921470066,-0.06533849994283969
0.0454276067953084,3.5883095133809966,-0.0022282235400097328,0.04180339372193531,-0.10492448873400084,0.0011405292120874044,0.009618495376792602,0.046486532796884084,18.915993868647842,-0.25105973587840325
0.044700063496303746,3.6051486357483133,0.018883634127820237,-0.0022282235400097328,0.04180339372193531,-0.10492448873400084,0.0011405292120874044,0.0454276067953084,19.01066720973958,0.09929970042875991
0.0387319191267177,3.6083397745460473,0.016839122367316772,0.018883634127820237,-0.0022282235400097328,0.04180339372193531,-0.10492448873400084,0.044700063496303746,18.779213560975602,-0.20662053123011326
0.03878823033638583,3.5984732400924293,0.0031911387977339167,0.016839122367316772,0.018883634127820237,-0.0022282235400097328,0.04180339372193531,0.0387319191267177,18.49850067539585,-0.2447548538737364
0.038968780745268335,3.583321932323432,-0.009866534453617959,0.0031911387977339167,0.016839122367316772,0.018883634127820237,-0.0022282235400097328,0.03878823033638583,18.68117248711484,0.20042037952574088
0.0395254195225126,3.603581903649314,-0.015151307768997313,-0.009866534453617959,0.0031911387977339167,0.016839122367316772,0.018883634127820237,0.038968780745268335,18.559081760688183,-0.11493193420306291
0.03980577581451849,3.615724613870577,0.020259971325882198,-0.015151307768997313,-0.009866534453617959,0.0031911387977339167,0.016839122367316772,0.0395254195225126,18.621814241396066,0.06474196211195049
0.016600124072783162,3.6216445315828363,0.012142710221263009,0.020259971325882198,-0.015151307768997313,-0.009866534453617959,0.0031911387977339167,0.03980577581451849,18.597024469059782,-0.024485029293712435
0.012008339003588853,3.6277853116704772,0.005919917712259082,0.012142710221263009,0.020259971325882198,-0.015151307768997313,-0.009866534453617959,0.016600124072783162,18.720814965593384,0.1317787345914987
0.01489274262234926,3.6050833048462354,0.006140780087640962,0.005919917712259082,0.012142710221263009,0.020259971325882198,-0.015151307768997313,0.012008339003588853,18.61605013959558,-0.09946371959349354
0.013903168346728735,3.6091194709048864,-0.022702006824241838,0.006140780087640962,0.005919917712259082,0.012142710221263009,0.020259971325882198,0.01489274262234926,18.342961335328294,-0.23897479765743235
0.013170552022416248,3.6011615537362296,0.004036166058650981,-0.022702006824241838,0.006140780087640962,0.005919917712259082,0.012142710221263009,0.013903168346728735,18.43818661808203,0.09990661720837335
0.016834832229233935,3.633761447120721,-0.007957917168656792,0.004036166058650981,-0.022702006824241838,0.006140780087640962,0.005919917712259082,0.013170552022416248,18.71440949832045,0.3181416190083133
0.016789139749430942,3.624463809541315,0.03259989338449154,-0.007957917168656792,0.004036166058650981,-0.022702006824241838,0.006140780087640962,0.016834832229233935,18.46726275766534,-0.21897392315605846
0.016292539025362776,3.614045193355363,-0.00929763757940627,0.03259989338449154,-0.007957917168656792,0.004036166058650981,-0.022702006824241838,0.016789139749430942,18.9295973466967,0.5877764669499581
0.025508322490431962,3.6801461129504736,-0.010418616185952079,-0.00929763757940627,0.03259989338449154,-0.007957917168656792,0.004036166058650981,0.016292539025362776,19.314477165198856,0.4694377116035704
0.025459571038909314,3.6873214631219176,0.06610091959511077,-0.010418616185952079,-0.00929763757940627,0.03259989338449154,-0.007957917168656792,0.025508322490431962,18.90900551147429,-0.33333769706331884
0.025546949804660136,3.6878022712249154,0.007175350171443995,0.06610091959511077,-0.010418616185952079,-0.00929763757940627,0.03259989338449154,0.025459571038909314,18.688203985675056,-0.1981241838407839
0.0264227096354526,3.7158111115014556,0.00048080810299788723,0.007175350171443995,0.06610091959511077,-0.010418616185952079,-0.00929763757940627,0.025546949804660136,18.651649597567843,-0.03589434341146258
0.024037410191860467,3.7327759411675014,0.02800884027654016,0.00048080810299788723,0.007175350171443995,0.06610091959511077,-0.010418616185952079,0.0264227096354526,18.78814210477048,0.14624628915241855
0.024214144917913218,3.733120249966888,0.016964829666045844,0.02800884027654016,0.00048080810299788723,0.007175350171443995,0.06610091959511077,0.024037410191860467,18.542530167302942,-0.21777428147228928
0.02548114696784495,3.7139991285527674,0.00034430879938662784,0.016964829666045844,0.02800884027654016,0.00048080810299788723,0.007175350171443995,0.024214144917913218,18.659436192924566,0.12401379622940834
0.024478253046491392,3.715173607693961,-0.0191211214141207,0.00034430879938662784,0.016964829666045844,0.02800884027654016,0.00048080810299788723,0.02548114696784495,18.372330483011318,-0.24956760349949747
0.024222930494186695,3.7094062189502734,0.0011744791411936184,-0.0191211214141207,0.00034430879938662784,0.016964829666045844,0.02800884027654016,0.024478253046491392,18.246013021695198,-0.11866498740554154
0.023302286361883095,3.717986427475322,-0.00576738874368754,0.0011744791411936184,-0.0191211214141207,0.00034430879938662784,0.016964829666045844,0.024222930494186695,18.3056514133676,0.0614526470223975
0.012918282187685995,3.7138228748548774,0.008580208525048594,-0.00576738874368754,0.0011744791411936184,-0.0191211214141207,0.00034430879938662784,0.023302286361883095,18.31488457785711,0.009275921646060947
0.012850679630535556,3.717459400173153,-0.004163552620444655,0.008580208525048594,-0.00576738874368754,0.0011744791411936184,-0.0191211214141207,0.012918282187685995,18.285351164129303,-0.029101564236867605
