Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company,log_return
2018-12-03 00:00:00-05:00,44.2616812950922,44.3768575779832,43.4818349383034,44.3480644226074,163210000,0.0,0.0,AAPL,0.03434582845152789
2018-12-04 00:00:00-05:00,43.4194445987869,43.7649771065583,42.2964676099178,42.3972473144531,165377200,0.0,0.0,AAPL,-0.0449856262685282
2018-12-06 00:00:00-05:00,41.2142797782764,41.9389380514335,40.892743997315,41.9245414733887,172393600,0.0,0.0,AAPL,-0.01121206748232062
2018-12-07 00:00:00-05:00,41.6294015919682,41.8693543285748,40.3840463031582,40.4296379089356,169126400,0.0,0.0,AAPL,-0.03630824320618187
2018-12-10 00:00:00-05:00,39.592199880053,40.8135583794378,39.1914792660881,40.6959838867188,248104000,0.0,0.0,AAPL,0.006566283964797304
2018-12-11 00:00:00-05:00,41.1902827306286,41.2214740929224,40.0721022327074,40.4632263183594,189126800,0.0,0.0,AAPL,-0.005735842079101605
2018-12-12 00:00:00-05:00,40.8879357728265,41.2526648766583,40.5568035595911,40.5760002136231,142510800,0.0,0.0,AAPL,0.002783194580869619
2018-12-13 00:00:00-05:00,40.9095327253204,41.4086347268138,40.6839766258449,41.0199089050293,127594400,0.0,0.0,AAPL,0.010880767816979997
2018-12-14 00:00:00-05:00,40.5520013698609,40.5711980228935,39.6593771414713,39.7073669433594,162814800,0.0,0.0,AAPL,-0.032520796094561266
2018-12-17 00:00:00-05:00,39.7001836443662,40.3960488493122,39.0475118403976,39.3378562927246,177151600,0.0,0.0,AAPL,-0.009349416122290677
2018-12-18 00:00:00-05:00,39.6833738742807,40.1992706520203,39.4458194120549,39.8489418029785,135366000,0.0,0.0,AAPL,0.012908530699062393
2018-12-19 00:00:00-05:00,39.8321459221647,40.1800765849905,38.1740719812501,38.6059875488281,196189200,0.0,0.0,AAPL,-0.03168846809217207
2018-12-20 00:00:00-05:00,38.4884078687295,38.8987285567968,37.2646514146906,37.631778717041,259092000,0.0,0.0,AAPL,-0.0255585102083411
2018-12-21 00:00:00-05:00,37.6389790932133,37.9509183224358,35.904122170008,36.1680679321289,382978400,0.0,0.0,AAPL,-0.03967224384919499
2018-12-24 00:00:00-05:00,35.5489973742262,36.3648388964177,35.1746716813545,35.2322616577148,148676800,0.0,0.0,AAPL,-0.02621444101006043
2018-12-26 00:00:00-05:00,35.5849844701187,37.7277602229624,35.2058587825676,37.7133636474609,234330000,0.0,0.0,AAPL,0.06805231783161325
2018-12-27 00:00:00-05:00,37.3942431481565,37.6174011541387,36.0097181403939,37.4686279296875,212468400,0.0,0.0,AAPL,-0.00651051075134923
2018-12-28 00:00:00-05:00,37.7925645558723,38.0373174277088,37.0847045551989,37.4878234863281,169165600,0.0,0.0,AAPL,0.0005121789171602664
2018-12-31 00:00:00-05:00,38.0397006369136,38.2388618141326,37.54779687741,37.8501396179199,140014000,0.0,0.0,AAPL,0.009618495376792602
2019-01-02 00:00:00-05:00,37.1662769799991,38.1164913705357,37.0079073046783,37.8933334350586,148158800,0.0,0.0,AAPL,0.0011405292120874044
2019-01-03 00:00:00-05:00,34.5483873005235,34.9659062994588,34.0732819992437,34.1188735961914,365248800,0.0,0.0,AAPL,-0.10492448873400084
2019-01-04 00:00:00-05:00,34.6803672186805,35.6449782030236,34.5052027537739,35.5753898620606,234428400,0.0,0.0,AAPL,0.04180339372193531
2019-01-07 00:00:00-05:00,35.6809728317375,35.7121678605661,35.0091044062571,35.496208190918,219111200,0.0,0.0,AAPL,-0.0022282235400097328
2019-01-08 00:00:00-05:00,35.8873301129788,36.4296256321116,35.6377808820081,36.1728744506836,164101200,0.0,0.0,AAPL,0.018883634127820237
