Ticker,Model,Split,MAE,RMSE
AAPL,Naive,Test,0.0009558448464608286,0.001669615194974651
AAPL,LinearRegression,Test,0.0012313035205455865,0.0017923334871990423
AAPL,RollingMean10,Test,0.002484758002258264,0.0033064985756570573
AAPL,LinearRegression,Val,0.0017222029800697378,0.0026390196274031132
MSFT,LinearRegression,Test,0.0013102611564577106,0.002023856127558951
MSFT,Naive,Test,0.0011949411549946225,0.0020690919786406042
MSFT,RollingMean10,Test,0.0033816190028974867,0.00432744391567575
MSFT,LinearRegression,Val,0.0019815897347899205,0.003048376508161683
